day,language,part,time_seconds,timestamp
02,rust,1,0.011117,2026-01-04T21:05:57.871714896+00:00
02,rust,2,0.071580,2026-01-04T21:05:57.943781485+00:00
02,rust,1,0.010810,2026-01-04T21:07:26.985597695+00:00
02,rust,2,0.067418,2026-01-04T21:07:27.053226267+00:00
02,rust,1,0.010471,2026-01-04T21:19:19.702841305+00:00
02,rust,2,0.018171,2026-01-04T21:19:19.721254817+00:00
02,rust,1,0.003621,2026-01-04T21:24:18.483054226+00:00
02,rust,2,0.018734,2026-01-04T21:24:18.501963087+00:00
01,rust,1,0.000049,2026-01-05T15:28:40.578911793+00:00
01,rust,2,0.000075,2026-01-05T15:28:40.579122980+00:00
01,python,1,0.001585,2026-01-05T17:10:30.876732
01,python,2,0.002632,2026-01-05T17:10:30.879867
02,python,1,0.551410,2026-01-05T17:10:38.122113
02,python,2,1.193509,2026-01-05T17:10:39.316133
03,python,1,0.004972,2026-01-05T17:10:39.414079
03,python,2,0.010097,2026-01-05T17:10:39.424944
04,python,1,0.065762,2026-01-05T17:10:39.590215
04,python,2,0.374586,2026-01-05T17:10:39.965451
05,python,1,0.005430,2026-01-05T17:10:40.058002
05,python,2,0.000550,2026-01-05T17:10:40.058942
06,python,1,0.000959,2026-01-05T17:10:40.147735
06,python,2,0.004518,2026-01-05T17:10:40.152691
07,python,1,0.001195,2026-01-05T17:10:40.237430
07,python,2,0.001549,2026-01-05T17:10:40.239428
08,python,1,0.086784,2026-01-05T17:10:40.563485
08,python,2,0.240053,2026-01-05T17:10:40.804200
09,python,1,0.070953,2026-01-05T17:10:40.969984
09,python,2,0.294438,2026-01-05T17:10:41.265041
10,python,1,0.018504,2026-01-05T17:10:41.426035
10,python,2,0.854751,2026-01-05T17:10:42.281375
11,python,1,0.000967,2026-01-05T17:10:42.390121
11,python,2,0.003751,2026-01-05T17:10:42.394511
12,python,1,0.003341,2026-01-05T17:10:42.496597
12,python,2,0.000001,2026-01-05T17:10:42.497112
01,python,1,0.001730,2026-01-05T17:10:49.289207
01,python,2,0.002739,2026-01-05T17:10:49.292462
02,python,1,0.558525,2026-01-05T17:10:49.942019
02,python,2,1.173518,2026-01-05T17:10:51.116090
03,python,1,0.004260,2026-01-05T17:10:51.204655
03,python,2,0.008610,2026-01-05T17:10:51.213938
04,python,1,0.062425,2026-01-05T17:10:51.360867
04,python,2,0.351892,2026-01-05T17:10:51.713413
05,python,1,0.005318,2026-01-05T17:10:51.803326
05,python,2,0.000483,2026-01-05T17:10:51.804138
06,python,1,0.000963,2026-01-05T17:10:51.883264
06,python,2,0.004610,2026-01-05T17:10:51.888297
07,python,1,0.001339,2026-01-05T17:10:51.975122
07,python,2,0.001555,2026-01-05T17:10:51.977077
08,python,1,0.074216,2026-01-05T17:10:52.203398
08,python,2,0.226999,2026-01-05T17:10:52.430937
09,python,1,0.067486,2026-01-05T17:10:52.594188
09,python,2,0.286120,2026-01-05T17:10:52.880895
10,python,1,0.016807,2026-01-05T17:10:53.009305
10,python,2,0.727444,2026-01-05T17:10:53.737319
11,python,1,0.000584,2026-01-05T17:10:53.829438
11,python,2,0.002032,2026-01-05T17:10:53.831939
12,python,1,0.003248,2026-01-05T17:10:53.916348
12,python,2,0.000001,2026-01-05T17:10:53.916879
01,python,1,0.001797,2026-01-05T17:12:07.565930
01,python,2,0.003245,2026-01-05T17:12:07.569707
02,python,1,0.709922,2026-01-05T17:12:08.376756
02,python,2,1.361102,2026-01-05T17:12:09.738635
03,python,1,0.004782,2026-01-05T17:12:09.828005
03,python,2,0.008708,2026-01-05T17:12:09.837146
04,python,1,0.069657,2026-01-05T17:12:09.991336
04,python,2,0.452876,2026-01-05T17:12:10.444748
05,python,1,0.006495,2026-01-05T17:12:10.540678
05,python,2,0.000779,2026-01-05T17:12:10.542010
06,python,1,0.001365,2026-01-05T17:12:10.621793
06,python,2,0.004538,2026-01-05T17:12:10.626729
07,python,1,0.002264,2026-01-05T17:12:10.707003
